product,fact,value,numeric,unit,source_url,retrieved_at
swipey,limits,"Video scene length is capped at 60 seconds and extends in fixed steps: ""each video starts short and can be extended step by step, from 5 seconds up to a full 60 seconds"" — ""Scenes extend in steps: 5s -> 10s -> 20s -> 30s -> 60s"". ""Extensions cost Hearts"" but the per-step Heart cost is not published. No cap on number of videos is stated.",60,seconds (max video length),https://swipey.ai/faq/ai-features/how-do-video-scenes-in-chat-work,2026-09-03
swipey,limits,"Image generation: no numeric cap, quota, rate limit, or per-image cost is published. The only gating stated is that ""NSFW image generation requires Swipey AI Premium.""",,,https://swipey.ai/faq/ai-features/how-does-ai-image-generation-work-on-swipey-ai,2026-09-03
swipey,limits,"Relationship progression is capped at 10 levels: ""Every chat has its own relationship bar with 10 levels, from Stranger to Soulmate."" Relationship progression is a Premium-gated feature. Free Hearts are earnable without paying via ""Daily Rewards, Quests, and Refer-a-Friend"", but no earn amounts are published.",10,relationship levels,https://swipey.ai/faq/getting-started/how-swipey-ai-works,2026-09-03
swipey,platforms,"Web only. ""Swipey AI works on any device with a modern web browser — desktop, phone, or tablet, on both iOS and Android."" ""There is no app to download: just open swipey.ai, log in, and everything syncs across all your devices."" Installable to home screen: users can ""add swipey.ai to your home screen from your browser's share or menu button for one-tap access — it behaves like an app, still with nothing to download.""",,,https://swipey.ai/faq/getting-started/what-devices-does-swipey-ai-work-on,2026-09-03
swipey,platforms,"No native mobile app, stated explicitly and with a warning about impostors: ""Swipey AI is a web app only. There is currently no official Swipey AI app on the Apple App Store or Google Play — listings you may find there are not ours.""",,,https://swipey.ai/swipey-ai-app,2026-09-03
swipey,account_requirement,"Email only, no card: ""Only an email address is needed — no name, phone number, or ID"" and ""Signing up is free — no card required"". Payment details are collected only when purchasing: ""Major credit and debit cards are accepted"", with ""available methods vary by region — checkout shows what works for you""; the review page additionally lists Visa, MasterCard, Apple Pay and Google Pay.",,,https://swipey.ai/faq/getting-started/how-do-i-create-a-swipey-ai-account,2026-09-03
generateporn-ai,pricing_tier,"Pay as you go — ""From $4.99"" for ""500 Credits · about 31 KREA V3 ULTRA images"". One-time Credit purchase, no membership. ""Credits never expire."" Paying with crypto gives ""550 Credits for the same $4.99 on the entry Credit pack"" (10% bonus, one-time packs only). Unlocks metered use of any model; does NOT unlock Edit or Video, which require a membership.",4.99,USD one-time,https://generateporn.ai/#pricing,2026-09-03
generateporn-ai,pricing_tier,"Starter membership — ""$14.99 / one month"" or ""$107.99 for one year"" (page labels the annual option ""Save 40%""). Unlocks: ""1,600 included Credits refreshed monthly"", ""Unlimited KREA V3 ULTRA images with fair-use pacing"", ""Unlimited Wan 3.0 prompt writing"", ""2 concurrent generations · Edit and Video metered"", ""10% off every Credit top-up"". Fixed-term, never auto-renews.",14.99,USD/month (annual term $107.99),https://generateporn.ai/#pricing,2026-09-03
generateporn-ai,pricing_tier,"MAX membership — ""$39.99 / one month"" or ""$287.99 for one year"" (page labels the annual option ""Save 40%""). Unlocks: ""4,500 included Credits refreshed monthly"", ""Unlimited KREA V3 ULTRA images and QWEN ULTRA edits"", ""Unlimited Wan 3.0 prompt writing"", ""2 concurrent generations with priority queue access"", ""20% off every Credit top-up"". Fixed-term, never auto-renews.",39.99,USD/month (annual term $287.99),https://generateporn.ai/#pricing,2026-09-03
generateporn-ai,pricing_tier,"Billing model for all paid tiers: ""Memberships are fixed-term and never auto-renew. Card and crypto cost the same for memberships; the 10% crypto bonus applies only to one-time Credit packs."" Terms confirm: ""Purchases are priced in US dollars""; card plus BTC, ETH, USDT, USDC, SOL accepted; ""Completing checkout authorises only the single charge shown.""",,,https://generateporn.ai/terms/,2026-09-03
generateporn-ai,free_tier,"Yes. ""48 free image Credits"" granted at signup, ""No card — just an account"". FAQ: ""KREA V3 ULTRA image generation costs 16 Credits without a membership. Your 48 free image Credits cover three complete generations. No card is required. Edit and Video open with a membership."" So the free tier is a one-off 48-credit grant (3 images), not a recurring allowance, and it locks image editing and video generation entirely.",48,credits at signup (= 3 images),https://generateporn.ai/#faq,2026-09-03
generateporn-ai,languages,"English only. No multilingual support is published anywhere on the site: the document is served as <html lang=""en"">, there are zero hreflang alternate links, zero locale-prefixed routes (/de, /nl, /fr, /es all resolve only via the SPA catch-all to the same English document), no language-switcher control, and no i18n/locale strings in the page source. German, Dutch, French and Spanish are NOT offered and are never mentioned. Verified by direct inspection of the served HTML.",1,language (English),https://generateporn.ai/,2026-09-03
generateporn-ai,modalities,"Three generation modalities, no conversational ones. (1) Text-to-image: ""KREA V3 ULTRA or Qwen Image 3 Pro"". (2) Image editing: ""QWEN ULTRA edits"". (3) Video: ""Wan 3.0"", text-to-video and two image-to-video modes, at 480p or 720p, 5 or 10 seconds. Terms §3: ""GeneratePorn.ai provides tools to generate and edit fictional-adult images using an AI generation system. Image-to-video is available with a membership."" There is NO text chat, NO voice, and NO companion/persona chat — the words ""chat"", ""voice"", ""companion"" and ""character"" do not appear in the product page source at all. Also offered: a private Gallery, a moderated Prompt Library, and a Community Wiki.",,,https://generateporn.ai/#faq,2026-09-03
generateporn-ai,limits,"Free tier: 48 credits total (one grant), 16 credits per KREA V3 ULTRA image = 3 images. Edit and Video are locked, not rate-limited. No card required.",3,free images total,https://generateporn.ai/#faq,2026-09-03
generateporn-ai,limits,"Starter: 1,600 credits refreshed monthly; ""Unlimited KREA V3 ULTRA images with fair-use pacing"" (the exact fair-use threshold is not published); unlimited Wan 3.0 prompt writing; ""2 concurrent generations""; Edit and Video metered against credits.",1600,credits/month,https://generateporn.ai/#pricing,2026-09-03
generateporn-ai,limits,"MAX: 4,500 credits refreshed monthly; unlimited KREA V3 ULTRA images and unlimited QWEN ULTRA edits under fair-use pacing; ""2 concurrent generations with priority queue access"".",4500,credits/month,https://generateporn.ai/#pricing,2026-09-03
generateporn-ai,limits,"Video generation credit costs (metered on every tier): ""Wan 3.0 costs 125 Credits for 5 seconds or 250 for 10 at 480p. At 720p it costs 250 Credits for 5 seconds or 500 for 10. Text-to-video and both image-to-video modes use the same clear matrix.""",125,credits per 5s 480p clip,https://generateporn.ai/#faq,2026-09-03
generateporn-ai,limits,"Credit economics and expiry: Terms §6 — ""Each Credit is valued at approximately US$0.01""; ""Top-up Credits do not expire""; ""Credits included with a membership are granted monthly during an active paid term. Unused membership Credits may expire at the next monthly allowance date or when the paid term ends"". ""The available catalog and Credit costs may change over time; the amount displayed on the action button immediately before submission is the amount charged for that run."" No per-minute or per-hour API rate limit is published.",0.01,"USD per credit (approx, per Terms)",https://generateporn.ai/terms/,2026-09-03
generateporn-ai,platforms,"Web only. The product runs as a browser app at https://app.generateporn.ai/ with a responsive mobile layout — FAQ: ""Can I use it on my phone? Yes. Image, Edit, Video, Gallery, Credits and Profile are designed for the full mobile studio, with the same product modes available on desktop."" There is NO iOS app and NO Android app: the marketing site's source contains zero links to apps.apple.com or play.google.com, and no app store or download is mentioned on any page.",,,https://generateporn.ai/#faq,2026-09-03
generateporn-ai,account_requirement,"Email account only — no card for the free tier. Homepage states ""No card — just an account"" and the FAQ repeats ""No card is required."" Terms §4: ""You need an account to generate content and use account-only community features... One person, one account."" Terms §5 confirms email-based auth (""sign-in codes"" sent to the account address, i.e. emailed codes rather than a password), and creating an account also opts you into marketing email with an unsubscribe link. Public Prompt Library entries and Wiki articles are readable without an account behind the adults-only gate.",,,https://generateporn.ai/terms/,2026-09-03
flirtcam-ai,free_tier,"A free tier exists. FAQ verbatim: ""After 3 messages, you'll need to register, and after 3 more, a subscription is required to continue and view blurred images."" So: 3 messages with no account, then 3 further messages after registering, then a paywall. Also verbatim: ""Non-registered users access only SFW content, while registered users can enjoy more spicy content.""",3,messages before registration required,https://flirtcam.ai/,2026-09-03
flirtcam-ai,free_tier,"Registration itself is free and the signup CTA is labelled ""Sign up free"". Images and videos are shown blurred to free users; the paid feature list includes ""Reveal blur videos & images"", confirming blurring is the free-tier restriction.",,,https://flirtcam.ai/buy-subscription,2026-09-03
flirtcam-ai,limits,Free tier: 3 messages unregistered + 3 messages after registering (6 total) before a subscription is required; images/videos remain blurred.,6,total free messages,https://flirtcam.ai/,2026-09-03
flirtcam-ai,limits,"Paid tier allowance, verbatim from the premium feature list: ""Unlimited Messaging"", ""Get 1000 tokens monthly for image & video generation, voice call"", ""Unlimited private room video messaging"", ""Create unlimited characters"". Tokens are the metered unit for image/video/voice; extra tokens can be bought on top of the subscription.",1000,tokens per month included with subscription,https://flirtcam.ai/buy-subscription,2026-09-03
flirtcam-ai,limits,"Per-generation token costs are not published anywhere pre-registration, so the 1000 monthly tokens cannot be converted into an image or video count. No published rate limits on messages for paid users beyond ""Unlimited Messaging"". ToS reserves the right to apply rate limits: ""applying rate limits, reducing functionality, or restricting visibility (\""shadow ban\"")"".",,,https://flirtcam.ai/terms-of-service,2026-09-03
flirtcam-ai,languages,"Four UI languages: English (default), German, Spanish, French. Confirmed by hreflang tags (en, de, es, fr, x-default) and by the static sitemap listing only /, /de, /es, /fr variants of every page. The in-page language switcher shows exactly ""en de es fr"".",4,languages,https://flirtcam.ai/sitemap/static.xml,2026-09-03
flirtcam-ai,languages,"Checked specifically as requested: German YES (https://flirtcam.ai/de returns HTTP 200), French YES (/fr returns 200), Spanish YES (/es returns 200). Dutch NO — https://flirtcam.ai/nl returns HTTP 404 and no nl locale appears in any hreflang tag or in the sitemap. (Italian and Portuguese also 404.)",,,https://flirtcam.ai/,2026-09-03
flirtcam-ai,modalities,"Text chat, voice, image generation, and video generation all exist. Dedicated products: AI Image Generator (/image-generator) and AI Video Generator (/video-generator). Voice is confirmed by the premium feature ""Get 1000 tokens monthly for image & video generation, voice call"" and by builder options ""Select voice"" / ""No voice"". Video/cam chat confirmed by ""Unlimited private room video messaging"" and the site's CAM positioning.",,,https://flirtcam.ai/buy-subscription,2026-09-03
flirtcam-ai,modalities,"About page describes the product as ""not only ordinary chatting, but also VIDEO and CAM conversation, mutual interaction, sending pictures or emoticons"", and names ""Today 2026: Expanding functionalities and CAM focus"" as the current roadmap stage.",,,https://flirtcam.ai/about-flirtcam,2026-09-03
flirtcam-ai,platforms,"Web only. No iOS or Android app: zero references to apps.apple.com, play.google.com, ""App Store"" or ""Google Play"" across the homepage, subscription page, About page, generator page or Terms. The schema.org sameAs block lists only social profiles (Facebook, YouTube, Instagram, TikTok, Pinterest) — no app-store listings. About page describes access via ""smartphone, laptop, tablet or computer"", i.e. responsive web.",,,https://flirtcam.ai/about-flirtcam,2026-09-03
flirtcam-ai,account_requirement,"Email + password. ToS verbatim: ""Parts of the Services may require you to create a user account using a user email and password (the \""Protected Areas\"")."" No payment card is required to register — the first 3 messages need no account at all and the signup CTA is ""Sign up free""; payment is only required to pass the 6-message paywall. Note the site does operate an ""Age Verification Required"" flow and ToS s.20 gates explicit content behind both payment and age verification.",,,https://flirtcam.ai/terms-of-service,2026-09-03
dreamgf-ai,pricing_tier,"3-Month Membership (per /pricing, verbatim): ""First Payment: $12.99"", ""Recurring Cost: $25.99/month if not canceled"". Sold under ""Limited-Time Offer — Enjoy up to 75% off on your first subscription!""",12.99,"USD first payment, then 25.99 USD/month",https://dreamgf.ai/pricing,2026-09-03
dreamgf-ai,pricing_tier,"Monthly Membership (per /pricing, verbatim): ""First Payment: $29.97"", ""Recurring Cost: $77.97 every 3 months if not canceled"". NOTE: the site's own labels for this and the 3-Month tier appear transposed (the ""Monthly"" tier recurs every 3 months, the ""3-Month"" tier recurs monthly). Reported exactly as published, not corrected.",29.97,"USD first payment, then 77.97 USD/3 months",https://dreamgf.ai/pricing,2026-09-03
dreamgf-ai,pricing_tier,"Annual Membership (per /pricing, verbatim): ""First Payment: $69.99"", ""Recurring Cost: $311.88 annually if not canceled""",69.99,"USD first payment, then 311.88 USD/year",https://dreamgf.ai/pricing,2026-09-03
dreamgf-ai,pricing_tier,"All memberships include (verbatim): ""100 Tokens every month, Voice Calls & Messages, Faster Image Generation (up to 5x), Remove Blur from Images, Faster Response Times, 100% Secure & Anonymous (Cancel anytime), 100% Privacy (No adult transactions on bank statements)""",100,tokens/month included,https://dreamgf.ai/pricing,2026-09-03
dreamgf-ai,pricing_tier,"CONFLICTING TIER SET — homepage FAQ lists entirely different plans: ""Bronze: $9.99 per month"". This contradicts /pricing, which lists no Bronze/Silver/Gold/Diamond tiers at all. Both are first-party pages; the homepage FAQ appears stale.",9.99,USD/month,https://dreamgf.ai/,2026-09-03
dreamgf-ai,pricing_tier,"CONFLICTING TIER SET — homepage FAQ: ""Silver: $19.99 per month"". Not present on /pricing.",19.99,USD/month,https://dreamgf.ai/,2026-09-03
dreamgf-ai,pricing_tier,"CONFLICTING TIER SET — homepage FAQ: ""Gold: $49.99 per month"". Not present on /pricing.",49.99,USD/month,https://dreamgf.ai/,2026-09-03
dreamgf-ai,pricing_tier,"CONFLICTING TIER SET — homepage FAQ: ""Diamond: $99.99 per month"". Not present on /pricing.",99.99,USD/month,https://dreamgf.ai/,2026-09-03
dreamgf-ai,pricing_tier,"Token packages (add-on, not a subscription tier): ""Tokens are available for purchase only to premium members. Prices start at $2.99 and go up to $179.99."" One-off, non-recurring, auto-charged to card on click. Individual package prices/denominations between those bounds are NOT published.",,USD 2.99-179.99 one-off range,https://dreamgf.ai/pricing,2026-09-03
dreamgf-ai,pricing_tier,"Maintenance Charge: ""DreamGF reserves the right to apply a Maintenance Charge of $1.99 per month to keep user accounts active and operational."" Applies only to users who previously purchased; avoidable only by deleting the account.",1.99,USD/month conditional,https://dreamgf.ai/membership-policy,2026-09-03
dreamgf-ai,free_tier,"A free trial exists but its limits are NOT quantified anywhere on the site. Homepage: ""Try our simulator for FREE!"" and FAQ: ""Yes, DreamGF offers a free trial for new users. The free trial allows you to explore the platform and experience the basic features and functionalities."" No message, image, or duration cap is published for the free tier.",,,https://dreamgf.ai/,2026-09-03
dreamgf-ai,free_tier,"Membership Policy confirms a trial precedes purchase: ""To help users make informed decisions, we offer a free trial period before they choose to purchase a membership."" Duration and quotas of that trial period are not stated.",,,https://dreamgf.ai/membership-policy,2026-09-03
dreamgf-ai,free_tier,"Free users are excluded from the referral program: ""Referral program is for premium users only."" Token purchases are also gated: ""Tokens are available for purchase only to premium members.""",,,https://dreamgf.ai/,2026-09-03
dreamgf-ai,languages,"English ONLY. Every page served <html lang=""en""> with no hreflang alternates. German, Dutch, French and Spanish are NOT supported: /de, /nl, /fr and /es all return a soft-404 catch-all (HTTP 200, empty <title>, lang=""en"") byte-identical in behaviour to a control garbage path, i.e. no localized versions exist.",1,languages,https://dreamgf.ai/,2026-09-03
dreamgf-ai,languages,"Multi-language is an unshipped roadmap item marked ""Coming soon"": ""We are planning to develop a multi-language version of the website, starting with Spanish and Japanese. The multi-language will also include the chat."" German, Dutch and French are not named even as planned languages.",,,https://dreamgf.ai/roadmap,2026-09-03
dreamgf-ai,modalities,"Text chat — available. Homepage: ""Chat & sexting. Custom personalities, outfits and more."" Roadmap #26 ""New Chat Model"" (29 Jan 2024) and #2 ""The chat has been released"" confirm it as shipped.",,,https://dreamgf.ai/,2026-09-03
dreamgf-ai,modalities,"Voice — available, both directions. Roadmap #36 ""Voice Calls"" released 2 Aug 2024: ""you can not only text but hear your Virtual Girlfriend's ... voice over the phone."" Voice messages also shipped (#31 ""My Voices"", #33 ""New Voices""). Priced per /pricing at 3 tokens per voice message and 7 tokens per minute of voice call.",,,https://dreamgf.ai/roadmap,2026-09-03
dreamgf-ai,modalities,"Image generation — available, including in-chat on-request generation. FAQ: ""the photos generated in response to your request are generated in real-time."" Costs 10 tokens per image; memberships add ""Faster Image Generation (up to 5x)"" and ""Remove Blur from Images"".",,,https://dreamgf.ai/,2026-09-03
dreamgf-ai,modalities,"Video — NOT available. Roadmap lists ""AI Videos"" under ""In progress"": ""We are working towards users being able to generate videos of their AI girlfriends."" Terms corroborate it is unshipped by referring to ""voice messages and video generation if incorporated"" (conditional).",,,https://dreamgf.ai/roadmap,2026-09-03
dreamgf-ai,limits,"Paid members get uncapped messaging: ""Users who buy a membership enjoy unlimited messaging to AI generated companions, while additional features such as AI companion creation, image generation, and voice interactions require tokens.""",,,https://dreamgf.ai/membership-policy,2026-09-03
dreamgf-ai,limits,"Token costs gate every non-text action: ""AI Companion Generation: 20 Tokens; Image Generation: 10 Tokens; Voice Message: 3 Tokens; Voice Calls: 7 Tokens per minute; Influencer Messages: Varies depending on the influencer."" Base allocation is 100 tokens/month, so the included allowance is e.g. 10 images OR ~14 minutes of voice call per month before buying more.",100,tokens/month base allocation,https://dreamgf.ai/pricing,2026-09-03
dreamgf-ai,limits,"Daily Claim Bonus (message top-up): ""Claim your 10 daily messages and watch your bonus grow with each consecutive day! Your reward increases by 1 additional message each day - 10 on the first, 11 on the second, 12 on the third, reaching up to 50 messages on the 40th day ... missing a day will reset your streak back to 10.""",50,max messages/day at 40-day streak,https://dreamgf.ai/,2026-09-03
dreamgf-ai,limits,"Referral rewards: ""You get +100 Tokens! Your friend gets +50 Tokens!"" upon a successful referral payment; premium users only.",100,tokens per successful referral,https://dreamgf.ai/,2026-09-03
dreamgf-ai,platforms,"Web only. No iOS or Android app: no App Store, Google Play, apps.apple.com or play.google.com link or mention appears anywhere across the homepage, pricing, policies, terms, roadmap or registration pages. The word ""APP"" in the marketing headline (""AI girlfriend APP that works"") refers to the web app. Mobile support is responsive web only - roadmap #27 ""New Builder for Mobile Devices"" (29 Jan 2024) describes a mobile-optimised builder, not a native app.",,,https://dreamgf.ai/,2026-09-03
dreamgf-ai,account_requirement,"Account required; email is sufficient and no card is indicated for the free trial. FAQ: ""Press on the free trial button. You will sign a pop-up! You can sign-up directly with google or patreon which will automatically create an account for you. If you wish to register with email just type your email and you will receive your password with which you can login!"" Social SSO also includes Apple and Discord (roadmap #35, 15 Apr 2024). No page states that payment details are collected to start the trial - though the site never affirmatively says ""no credit card required"" either.",,,https://dreamgf.ai/,2026-09-03
dreamgf-ai,account_requirement,"Card is charged automatically once a token package is clicked, for paying users: ""Token purchases will be automatically charged to the card once the user clicks on a token package of choice."" Payments are by bank card directly on-platform, with Patreon retained as fallback; American Express and Discover are not accepted (roadmap #20).",,,https://dreamgf.ai/pricing,2026-09-03
dreambf-ai,pricing_tier,"Tier published verbatim as ""3-Month Membership: First Payment: $12.99 / Recurring Cost: $25.99/month if not canceled"". NOTE: the site's own heading and recurring period contradict each other (a ""3-Month"" plan billed monthly) — reported exactly as published, not corrected.",12.99,USD,https://dreambf.ai/pricing,2026-09-03
dreambf-ai,pricing_tier,"Tier published verbatim as ""Monthly Membership: First Payment: $29.97 / Recurring Cost: $77.97 every 3 months if not canceled"". NOTE: the site's own heading and recurring period contradict each other (a ""Monthly"" plan billed quarterly) — reported exactly as published, not corrected.",29.97,USD,https://dreambf.ai/pricing,2026-09-03
dreambf-ai,pricing_tier,"""Annual Membership: First Payment: $69.99 / Recurring Cost: $311.88 annually if not canceled"".",69.99,USD,https://dreambf.ai/pricing,2026-09-03
dreambf-ai,pricing_tier,"All membership tiers unlock the same published feature set: ""100 Tokens every month, Voice Calls & Messages, Faster Image Generation (up to 5x), Remove Blur from Images, Faster Response Times, 100% Secure & Anonymous (Cancel anytime), 100% Privacy (No adult transactions on bank statements)"". Headline promo: ""Enjoy up to 75% off on your first subscription!""",,,https://dreambf.ai/pricing,2026-09-03
dreambf-ai,pricing_tier,"Add-on token packages, not a subscription tier: ""Tokens are available for purchase only to premium members. Prices start at $2.99 and go up to $179.99."" Explicitly one-off: ""Token purchases are one off single transaction and are not recurring.""",,USD,https://dreambf.ai/pricing,2026-09-03
dreambf-ai,pricing_tier,"Additional recurring charge disclosed outside the price list: ""DreamBF reserves the right to apply a Maintenance Charge of $1.99 per month to keep user accounts active and operational."" Applies only to users who previously purchased the service.",1.99,USD,https://dreambf.ai/membership-policy,2026-09-03
dreambf-ai,free_tier,"A free entry path exists but is never specified as a named tier with published quotas. Homepage: ""Try our simulator for FREE!"" and step 1 of the flow is ""Create account — Sign up and create your account. It's quick and easy!"", with step 6 ""Upgrade to a paid plan if you want to generate more content and send more messages."" The Membership Policy adds: ""we offer a free trial period before they choose to purchase a membership."" The exact free allowance (message count, image count, trial length) is NOT published anywhere on the site.",,,https://dreambf.ai/membership-policy,2026-09-03
dreambf-ai,free_tier,"Two reward mechanics are gated to paying users, narrowing the free tier: the referral program (""You get +100 Tokens! Your friend gets +50 Tokens!"") is stated as ""Referral program is for premium users only."" Tokens generally are ""available for purchase only to premium members.""",,,https://dreambf.ai/,2026-09-03
dreambf-ai,limits,"Daily Claim Bonus Program, published on the homepage without an explicit free/paid gate: ""Claim your 10 daily messages... Your reward increases by 1 additional message each day – 10 on the first, 11 on the second, 12 on the third, reaching up to 50 messages on the 40th day... missing a day will reset your streak back to 10.""",,messages/day,https://dreambf.ai/,2026-09-03
dreambf-ai,limits,"Messaging for paying members is uncapped: ""Users who buy a membership enjoy unlimited messaging to AI generated companions, while additional features such as AI companion creation, image generation, and voice interactions require tokens."" Membership includes 100 tokens/month baseline.",100,tokens/month,https://dreambf.ai/membership-policy,2026-09-03
dreambf-ai,limits,"Token consumption rates that function as the real per-action caps: ""AI Companion Generation: 20 Tokens; Image Generation: 10 Tokens; Voice Message: 3 Tokens; Voice Calls: 7 Tokens per minute; Influencer Messages: Varies depending on the influencer."" At the included 100 tokens/month this is e.g. 10 images OR ~14 voice-call minutes per month before buying more.",,tokens per action,https://dreambf.ai/pricing,2026-09-03
dreambf-ai,modalities,"Text chat, image generation, voice messages and voice calls are all confirmed. Pricing lists ""Voice Calls & Messages"" and ""Faster Image Generation (up to 5x) / Remove Blur from Images""; the token table prices ""Voice Message: 3 Tokens"" and ""Voice Calls: 7 Tokens per minute""; site copy says ""You can interact with your man through chat or voice"". Video generation is NOT offered — the only occurrence of video on the whole site is a conditional hedge in the Terms (""incl. voice messages and video generation if incorporated""), which is not a claim that the feature exists.",,,https://dreambf.ai/pricing,2026-09-03
dreambf-ai,platforms,"Web only. Across all 25 DreamBF pages retrieved there is not a single apps.apple.com or play.google.com link, and no ""download the app"" call to action; the product is delivered in-browser despite the homepage headline calling it an ""AI boyfriend APP"". No native iOS or Android app is offered on the site.",,,https://dreambf.ai/,2026-09-03
dreambf-ai,account_requirement,"An account is required before chatting — account creation is step 1 of the published flow, and the registration page states ""Sign in your account to get access to your men and chats!"". Users must affirm they are 18+. The site does NOT state anywhere whether a payment card is required to start the free trial, nor whether sign-up is email-only; the registration form renders client-side and its fields are not in the served HTML. That specific question is unresolved.",,,https://dreambf.ai/register,2026-09-03
joi,pricing_tier,"""Premium"" — the only named paid subscription tier. Terms: ""Joi AI offers you two account access programs which are the following: “Basic”: which provides limited access to the Service... “Premium”: a subscription-fee based program."" Billed ""automatically on a monthly, quarterly, semi-annual, or annual basis, depending on the plan you choose""; charge appears on the bank statement as joi.com. Unlocks full access plus eligibility for paid add-ons: ""Premium is required to access certain paid add-ons, including subscriptions to individual Virtual friends, characters, or bots."" NO PRICE OR CURRENCY IS PUBLISHED ANYWHERE ON THE OFFICIAL SITE — Terms state only that ""“Premium”, Bot Subscription, and Neuron prices may vary based on region, length of subscription, selected Virtual friend, character, or bot, available promotions, and other factors.""",,,https://joi.ai/terms,2026-09-03
joi,pricing_tier,"Premium plan lengths as stated in the product FAQ: ""Joi AI offers 1-month, 3-month and 12-month options."" No price given for any of the three.",3,plan length options,https://joi.com/generate/images,2026-09-03
joi,pricing_tier,"""Bot Subscription"" — a separate paid add-on: ""Users with an active Premium subscription may purchase a separate subscription to certain individual Virtual friends, characters, or bots."" Requires an active Premium subscription; may be recurring or a one-off indefinite purchase depending on the offer. Access is suspended if Premium lapses. No price published.",,,https://joi.ai/terms,2026-09-03
joi,pricing_tier,"""Neurons"" — consumable credit currency sold in packs, separate from the subscription. FAQ: ""You can choose a plan and purchase exciting extras using the special Neuron currency, available in tiers of 500, 2k and 10k."" Help centre: ""Neuron packs are available in several sizes - the larger the pack, the better the per-unit rate."" No monetary price published for any pack.",,,https://joi.com/generate/images,2026-09-03
